,match_name,selection,market_type,handicap,commence_time,status,result_score
1788,Atlanta Hawks vs Dallas Mavericks,Dallas Mavericks,Spread,7.5,2026-03-10 23:30:00+00:00,Lost,Atlanta Hawks 124 - 112 Dallas Mavericks
1789,Milwaukee Bucks vs Phoenix Suns,Phoenix Suns,Spread,-3.5,2026-03-11 00:00:00+00:00,Won,Milwaukee Bucks 114 - 129 Phoenix Suns
1819,Denver Nuggets vs Houston Rockets,Denver Nuggets,Spread,-7.5,2026-03-12 02:00:00+00:00,Won,Denver Nuggets 129 - 93 Houston Rockets
1836,Los Angeles Lakers vs Chicago Bulls,Los Angeles Lakers,Spread,-12.5,2026-03-13 02:30:00+00:00,Lost,Los Angeles Lakers 142 - 130 Chicago Bulls
1841,Oklahoma City Thunder vs Boston Celtics,Boston Celtics,Spread,5.5,2026-03-13 01:30:00+00:00,Won,Oklahoma City Thunder 104 - 102 Boston Celtics
1875,Houston Rockets vs New Orleans Pelicans,New Orleans Pelicans,Spread,5.5,2026-03-14 00:00:00+00:00,Won,Houston Rockets 107 - 105 New Orleans Pelicans
1882,Golden State Warriors vs Minnesota Timberwolves,Minnesota Timberwolves,Spread,-7.5,2026-03-14 02:00:00+00:00,Won,Golden State Warriors 117 - 127 Minnesota Timberwolves
1910,Los Angeles Clippers vs Sacramento Kings,Los Angeles Clippers,Spread,-15.5,2026-03-15 02:30:00+00:00,Lost,Los Angeles Clippers 109 - 118 Sacramento Kings
1938,Sacramento Kings vs Utah Jazz,Sacramento Kings,Spread,-3.5,2026-03-16 02:00:00+00:00,Won,Sacramento Kings 116 - 111 Utah Jazz
1966,Boston Celtics vs Phoenix Suns,Boston Celtics,Spread,-10.5,2026-03-16 23:30:00+00:00,Lost,Boston Celtics 120 - 112 Phoenix Suns
1967,Brooklyn Nets vs Portland Trail Blazers,Portland Trail Blazers,Spread,-11.5,2026-03-16 23:30:00+00:00,Won,Brooklyn Nets 95 - 114 Portland Trail Blazers
1973,Los Angeles Clippers vs San Antonio Spurs,Los Angeles Clippers,Spread,8.5,2026-03-17 02:00:00+00:00,Won,Los Angeles Clippers 115 - 119 San Antonio Spurs
2002,Charlotte Hornets vs Miami Heat,Charlotte Hornets,Spread,-5.5,2026-03-17 23:00:00+00:00,Won,Charlotte Hornets 136 - 106 Miami Heat
2028,Dallas Mavericks vs Atlanta Hawks,Atlanta Hawks,Spread,-9.5,2026-03-19 00:30:00+00:00,Won,Dallas Mavericks 120 - 135 Atlanta Hawks
2048,Utah Jazz vs Milwaukee Bucks,Milwaukee Bucks,Spread,-6.5,2026-03-20 01:00:00+00:00,Lost,Utah Jazz 128 - 96 Milwaukee Bucks
2092,Houston Rockets vs Atlanta Hawks,Atlanta Hawks,Spread,2.5,2026-03-21 00:00:00+00:00,Lost,Houston Rockets 117 - 95 Atlanta Hawks
2099,Minnesota Timberwolves vs Portland Trail Blazers,Portland Trail Blazers,Spread,1.5,2026-03-21 00:00:00+00:00,Won,Minnesota Timberwolves 104 - 108 Portland Trail Blazers
2115,Orlando Magic vs Los Angeles Lakers,Orlando Magic,Spread,1.5,2026-03-21 23:00:00+00:00,Won,Orlando Magic 104 - 105 Los Angeles Lakers
2116,Dallas Mavericks vs Los Angeles Clippers,Dallas Mavericks,Spread,5.5,2026-03-22 00:30:00+00:00,Lost,Dallas Mavericks 131 - 138 Los Angeles Clippers
2129,Utah Jazz vs Philadelphia 76ers,Utah Jazz,Spread,4.5,2026-03-22 01:30:00+00:00,Lost,Utah Jazz 116 - 126 Philadelphia 76ers
2169,Los Angeles Clippers vs Milwaukee Bucks,Los Angeles Clippers,Spread,-14.5,2026-03-24 02:30:00+00:00,Won,Los Angeles Clippers 129 - 96 Milwaukee Bucks
2171,Chicago Bulls vs Houston Rockets,Chicago Bulls,Spread,6.5,2026-03-24 00:00:00+00:00,Won,Chicago Bulls 132 - 124 Houston Rockets
2220,Indiana Pacers vs Los Angeles Lakers,Indiana Pacers,Spread,9.5,2026-03-25 23:00:00+00:00,Won,Indiana Pacers 130 - 137 Los Angeles Lakers
2221,Portland Trail Blazers vs Milwaukee Bucks,Portland Trail Blazers,Spread,-14.5,2026-03-26 02:00:00+00:00,Won,Portland Trail Blazers 130 - 99 Milwaukee Bucks
2246,Detroit Pistons vs New Orleans Pelicans,Detroit Pistons,Spread,-6.5,2026-03-26 23:00:00+00:00,Won,Detroit Pistons 129 - 108 New Orleans Pelicans
2259,Cleveland Cavaliers vs Miami Heat,Miami Heat,Spread,3.5,2026-03-27 23:30:00+00:00,Lost,Cleveland Cavaliers 149 - 128 Miami Heat
2261,Toronto Raptors vs New Orleans Pelicans,New Orleans Pelicans,Spread,6.5,2026-03-28 00:30:00+00:00,Lost,Toronto Raptors 119 - 106 New Orleans Pelicans
2262,Indiana Pacers vs Los Angeles Clippers,Los Angeles Clippers,Spread,-10.5,2026-03-27 23:00:00+00:00,Lost,Indiana Pacers 113 - 114 Los Angeles Clippers
2361,Los Angeles Lakers vs Cleveland Cavaliers,Los Angeles Lakers,Spread,-4.5,2026-04-01 02:30:00+00:00,Won,Los Angeles Lakers 127 - 113 Cleveland Cavaliers
2364,Brooklyn Nets vs Charlotte Hornets,Charlotte Hornets,Spread,-16.5,2026-03-31 23:30:00+00:00,Won,Brooklyn Nets 86 - 117 Charlotte Hornets
2370,Los Angeles Clippers vs Portland Trail Blazers,Portland Trail Blazers,Spread,4.5,2026-04-01 03:00:00+00:00,Won,Los Angeles Clippers 104 - 114 Portland Trail Blazers
2394,Miami Heat vs Boston Celtics,Miami Heat,Spread,3.5,2026-04-01 23:30:00+00:00,Lost,Miami Heat 129 - 147 Boston Celtics
2397,Utah Jazz vs Denver Nuggets,Utah Jazz,Spread,15.5,2026-04-02 01:00:00+00:00,Won,Utah Jazz 117 - 130 Denver Nuggets
2488,Philadelphia 76ers vs Detroit Pistons,Detroit Pistons,Spread,-3.5,2026-04-04 23:00:00+00:00,Won,Philadelphia 76ers 93 - 116 Detroit Pistons
2498,Minnesota Timberwolves vs Charlotte Hornets,Charlotte Hornets,Spread,-2.5,2026-04-05 23:00:00+00:00,Won,Minnesota Timberwolves 108 - 122 Charlotte Hornets
2499,Chicago Bulls vs Phoenix Suns,Phoenix Suns,Spread,-10.5,2026-04-05 19:30:00+00:00,Lost,Chicago Bulls 110 - 120 Phoenix Suns
2554,New Orleans Pelicans vs Utah Jazz,Utah Jazz,Spread,10.5,2026-04-08 00:00:00+00:00,Lost,New Orleans Pelicans 156 - 137 Utah Jazz
2574,Orlando Magic vs Minnesota Timberwolves,Orlando Magic,Spread,-7.5,2026-04-08 23:00:00+00:00,Won,Orlando Magic 132 - 120 Minnesota Timberwolves
2624,Utah Jazz vs Memphis Grizzlies,Memphis Grizzlies,Spread,2.5,2026-04-11 01:30:00+00:00,Lost,Utah Jazz 147 - 101 Memphis Grizzlies
2625,San Antonio Spurs vs Dallas Mavericks,San Antonio Spurs,Spread,-18.5,2026-04-11 00:00:00+00:00,Won,San Antonio Spurs 139 - 120 Dallas Mavericks
